date,tweets_published,impressions,engagements,engagement_rate,retweets,replies,likes,user_profile_clicks,url_clicks,hashtag_clicks,detail_expands,permalink_clicks,app_opens,app_installs,follows,email_tweet,dial_phone,media_views,media_engagements,promoted_impressions,promoted_engagements,promoted_engagement_rate,promoted_retweets,promoted_replies,promoted_likes,promoted_user_profile_clicks,promoted_url_clicks,promoted_hashtag_clicks,promoted_detail_expands,promoted_permalink_clicks,promoted_app_opens,promoted_app_installs,promoted_follows,promoted_email_tweet,promoted_dial_phone,promoted_media_views,promoted_media_engagements
2021-02-26,0,512,6,0.01171875,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,
2021-02-27,0,343,18,0.0524781341107871,1,0,1,6,7,0,3,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,
2021-02-28,0,86,1,0.0116279069767441,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-03-01,0,2141,44,0.0205511443250817,12,0,5,3,6,0,13,0,0,0,0,0,0,172,5,,,,,,,,,,,,,,,,,,
2021-03-02,0,2719,63,0.0231702831923501,6,0,5,6,10,0,35,0,0,0,0,0,0,170,1,,,,,,,,,,,,,,,,,,
2021-03-03,0,342,4,0.0116959064327485,0,0,0,1,2,0,1,0,0,0,0,0,0,8,0,,,,,,,,,,,,,,,,,,
2021-03-04,0,2953,41,0.0138841855739925,9,0,7,3,9,0,10,0,0,0,0,0,0,40,3,,,,,,,,,,,,,,,,,,
2021-03-05,0,2129,10,0.0046970408642555,2,0,2,2,2,0,0,0,0,0,0,0,0,31,2,,,,,,,,,,,,,,,,,,
2021-03-06,0,359,1,0.0027855153203342,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,
2021-03-07,0,308,3,0.0097402597402597,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,
2021-03-08,0,1112,15,0.0134892086330935,3,0,3,0,3,2,4,0,0,0,0,0,0,23,0,,,,,,,,,,,,,,,,,,
2021-03-09,0,531,7,0.0131826741996233,0,0,1,0,6,0,0,0,0,0,0,0,0,9,0,,,,,,,,,,,,,,,,,,
2021-03-10,0,506,7,0.0138339920948616,0,0,1,0,5,0,0,0,0,0,0,0,0,10,1,,,,,,,,,,,,,,,,,,
2021-03-11,0,325,4,0.0123076923076923,0,0,2,1,0,0,1,0,0,0,0,0,0,10,0,,,,,,,,,,,,,,,,,,
2021-03-12,0,326,2,0.0061349693251533,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,
2021-03-13,0,170,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,
2021-03-14,0,296,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-03-15,0,165,2,0.0121212121212121,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-03-16,0,181,4,0.0220994475138121,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,
2021-03-17,0,282,5,0.0177304964539007,0,0,1,0,3,0,0,0,0,0,0,0,0,6,1,,,,,,,,,,,,,,,,,,
2021-03-18,0,292,2,0.0068493150684931,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,
2021-03-19,0,187,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-03-20,0,120,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-03-21,0,298,2,0.0067114093959731,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-03-22,0,230,1,0.0043478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,
2021-03-23,0,322,6,0.0186335403726708,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,
2021-03-24,0,403,3,0.0074441687344913,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-03-25,0,271,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,
2021-03-26,0,270,2,0.0074074074074074,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-03-27,0,119,4,0.0336134453781512,0,0,0,2,1,0,1,0,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,
2021-03-28,0,556,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,
2021-03-29,0,299,2,0.0066889632107023,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,
2021-03-30,0,215,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-03-31,0,307,2,0.006514657980456,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,
2021-04-01,0,386,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-04-02,0,353,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-04-03,0,292,5,0.0171232876712328,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
2021-04-04,0,327,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-04-05,0,424,2,0.0047169811320754,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,
2021-04-06,0,297,1,0.0033670033670033,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-04-07,6,21812,447,0.0204933064368237,26,3,59,18,148,2,84,0,0,0,0,0,0,140,107,,,,,,,,,,,,,,,,,,
2021-04-08,2,14737,202,0.0137069959964714,21,1,29,9,56,0,48,0,0,0,0,0,0,43,38,,,,,,,,,,,,,,,,,,
2021-04-09,6,7091,92,0.0129741926385559,7,3,22,14,14,0,24,0,0,0,0,0,0,10,8,,,,,,,,,,,,,,,,,,
2021-04-10,0,1327,9,0.0067822155237377,0,0,0,0,2,0,6,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
2021-04-11,0,668,4,0.0059880239520958,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
2021-04-12,4,2907,28,0.0096319229446164,4,0,4,5,7,0,4,0,0,0,0,0,0,5,4,,,,,,,,,,,,,,,,,,
2021-04-13,2,2192,31,0.0141423357664233,4,0,11,4,7,0,3,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
2021-04-14,1,1409,24,0.0170333569907735,6,0,5,0,5,0,6,0,0,0,0,0,0,6,2,,,,,,,,,,,,,,,,,,
2021-04-15,2,550,18,0.0327272727272727,2,0,1,0,2,0,10,0,0,0,0,0,0,7,3,,,,,,,,,,,,,,,,,,
2021-04-16,3,3706,45,0.0121424716675661,8,1,13,2,9,0,4,0,0,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
2021-04-17,0,1081,16,0.0148011100832562,2,0,1,1,2,0,4,0,0,0,0,0,0,7,6,,,,,,,,,,,,,,,,,,
2021-04-18,0,714,29,0.0406162464985994,3,0,9,1,5,0,7,0,0,0,0,0,0,5,4,,,,,,,,,,,,,,,,,,
2021-04-19,7,10716,88,0.0082120194102276,10,1,21,9,13,1,27,0,0,0,0,0,0,7,6,,,,,,,,,,,,,,,,,,
2021-04-20,3,9757,102,0.0104540330019473,15,1,29,12,17,4,21,0,0,0,0,0,0,4,3,,,,,,,,,,,,,,,,,,
2021-04-21,2,6439,59,0.0091629134958844,6,2,14,5,5,0,21,0,0,0,0,0,0,7,6,,,,,,,,,,,,,,,,,,
2021-04-22,5,9242,309,0.0334343215754165,9,2,51,14,6,1,40,0,0,0,0,0,0,187,186,,,,,,,,,,,,,,,,,,
2021-04-23,3,10617,297,0.0279740039559197,5,0,31,11,21,0,35,0,0,0,0,0,0,195,194,,,,,,,,,,,,,,,,,,
2021-04-24,1,3063,33,0.0107737512242899,7,0,8,1,2,0,6,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
2021-04-25,0,1124,18,0.0160142348754448,3,0,3,5,0,0,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-04-26,6,10973,208,0.0189556183359154,20,1,31,8,25,3,38,0,0,0,0,0,0,159,82,,,,,,,,,,,,,,,,,,
2021-04-27,9,23546,290,0.0123163169965174,28,6,71,24,11,8,65,0,0,0,0,0,0,79,77,,,,,,,,,,,,,,,,,,
2021-04-28,14,30385,381,0.0125390817837748,26,4,81,43,15,6,62,0,0,0,0,0,0,147,144,,,,,,,,,,,,,,,,,,
2021-04-29,11,17194,287,0.0166918692567174,33,3,54,41,35,1,54,0,0,0,0,0,0,99,66,,,,,,,,,,,,,,,,,,
2021-04-30,2,10034,59,0.0058800079728921,3,1,18,4,4,0,9,0,0,0,0,0,0,24,20,,,,,,,,,,,,,,,,,,
2021-05-01,0,3201,21,0.0065604498594189,2,0,2,3,0,1,3,0,0,0,0,0,0,11,10,,,,,,,,,,,,,,,,,,
2021-05-02,0,917,14,0.015267175572519,0,0,2,4,0,0,5,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
2021-05-03,0,614,3,0.004885993485342,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,
2021-05-04,3,4873,42,0.0086189205828032,4,1,13,9,5,0,8,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
2021-05-05,0,1124,11,0.0097864768683274,1,0,4,5,0,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,
2021-05-06,1,2845,38,0.0133567662565905,3,0,15,6,0,1,11,0,0,0,0,0,0,5,2,,,,,,,,,,,,,,,,,,
2021-05-07,2,4266,55,0.0128926394749179,10,0,19,6,9,0,9,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
2021-05-08,0,1652,19,0.011501210653753,3,0,5,0,3,0,4,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
2021-05-09,0,490,3,0.0061224489795918,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,
2021-05-10,1,3515,32,0.009103840682788,2,1,7,3,4,0,7,0,0,0,0,0,0,9,8,,,,,,,,,,,,,,,,,,
2021-05-11,0,1156,17,0.0147058823529411,1,0,1,1,0,1,1,0,0,0,0,0,0,12,12,,,,,,,,,,,,,,,,,,
2021-05-12,0,701,7,0.0099857346647646,0,0,1,3,1,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
2021-05-13,1,1883,10,0.0053106744556558,1,0,2,1,0,0,2,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
2021-05-14,1,1961,16,0.0081591024987251,5,0,4,4,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-05-15,0,431,2,0.0046403712296983,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-05-16,0,359,3,0.0083565459610027,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-05-17,1,1333,13,0.0097524381095273,2,0,6,4,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2021-05-18,0,497,2,0.0040241448692152,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
